,lang,feature,accuracy,permute,epoch,lang_train,init,num_samples
199,fr,manner,0.4411764705882353,0.0,15,en,none,26761
200,enfr,manner,0.3981900452488688,0.0,15,en,none,26761
201,en,voicing,0.7647058823529411,0.0,15,en,none,26761
202,fr,voicing,0.0,0.0,15,en,none,26761
203,enfr,voicing,0.4852941176470588,0.0,15,en,none,26761
204,en,place,0.5416666666666666,0.0,15,en,none,26761
205,fr,place,0.10526315789473684,0.0,15,en,none,26761
206,enfr,place,0.23026315789473684,0.0,15,en,none,26761
207,enfr,lang,0.9863013698630136,0.0,15,en,none,26761
208,en,sonority,0.8717948717948718,0.0,16,en,none,31156
209,fr,sonority,0.38235294117647056,0.0,16,en,none,31156
210,enfr,sonority,0.36877828054298645,0.0,16,en,none,31156
211,en,manner,0.6923076923076923,0.0,16,en,none,31156
212,fr,manner,0.4411764705882353,0.0,16,en,none,31156
213,enfr,manner,0.3981900452488688,0.0,16,en,none,31156
214,en,voicing,0.7647058823529411,0.0,16,en,none,31156
215,fr,voicing,0.0,0.0,16,en,none,31156
216,enfr,voicing,0.4852941176470588,0.0,16,en,none,31156
217,en,place,0.5416666666666666,0.0,16,en,none,31156
218,fr,place,0.10526315789473684,0.0,16,en,none,31156
219,enfr,place,0.2510964912280702,0.0,16,en,none,31156
220,enfr,lang,0.9863013698630136,0.0,16,en,none,31156
221,en,sonority,0.8461538461538461,0.0,17,en,none,36190
222,fr,sonority,0.38235294117647056,0.0,17,en,none,36190
223,enfr,sonority,0.36877828054298645,0.0,17,en,none,36190
224,en,manner,0.717948717948718,0.0,17,en,none,36190
225,fr,manner,0.4411764705882353,0.0,17,en,none,36190
226,enfr,manner,0.3981900452488688,0.0,17,en,none,36190
227,en,voicing,0.7647058823529411,0.0,17,en,none,36190
228,fr,voicing,0.0,0.0,17,en,none,36190
229,enfr,voicing,0.4852941176470588,0.0,17,en,none,36190
230,en,place,0.5416666666666666,0.0,17,en,none,36190
231,fr,place,0.10526315789473684,0.0,17,en,none,36190
232,enfr,place,0.27192982456140347,0.0,17,en,none,36190
233,enfr,lang,0.9863013698630136,0.0,17,en,none,36190
234,en,sonority,0.8461538461538461,0.0,18,en,none,41957
235,fr,sonority,0.38235294117647056,0.0,18,en,none,41957
236,enfr,sonority,0.36877828054298645,0.0,18,en,none,41957
237,en,manner,0.717948717948718,0.0,18,en,none,41957
238,fr,manner,0.4411764705882353,0.0,18,en,none,41957
